question,translation,GPT-Score,Google Translate,Score,ChatGPT (no schema),Score
List the names of all scientists sorted in alphabetical order.,هل يمكنك سرد أسماء جميع العلماء مرتبة ترتيباً أبجدياً؟,,,,,
What are the names of all the scientists in alphabetical order?,ما هي أسماء جميع العلماء مرتبة ترتيباً أبجدياً؟,,,,,
Find the number of scientists involved for each project name.,هل يمكنك العثور على عدد العلماء المشاركين في كل مشروع حسب اسم المشروع؟,,,,,
"What are the naems of all the projects, and how many scientists were assigned to each of them?",ما هي أسماء جميع المشاريع، وكم عدد العلماء الذين تم تعيينهم في كل منها؟,,,,,
Find the number of scientists involved for the projects that require more than 300 hours.,هل يمكنك العثور على عدد العلماء المشاركين في المشاريع التي تتطلب أكثر من 300 ساعة؟,,,,,
"What are the names of projects that require more than 300 hours, and how many scientists are assigned to each?",ما هي أسماء المشاريع التي تتطلب أكثر من 300 ساعة، وكم عدد العلماء المعينين في كل منها؟,,,,,
Find the number of projects which each scientist is working on and scientist's name.,هل يمكنك العثور على عدد المشاريع التي يعمل فيها كل عالِم واسم العالِم؟,,,,,
"What are the names of the scientists, and how many projects are each of them working on?",ما هي أسماء العلماء، وكم عدد المشاريع التي يعمل كل منهم فيها؟,,,,,
Find the SSN and name of scientists who are assigned to the project with the longest hours.,هل يمكنك العثور على رقم الضمان الاجتماعي (SSN) واسم العلماء الذين تم تعيينهم في المشروع الذي يستغرق أطول وقت؟,,,,,
What are the SSN and names of scientists working on the project with the most hours?,ما هي أرقام الضمان الاجتماعي (SSN) وأسماء العلماء العاملين في المشروع الذي يستغرق أكبر عدد من الساعات؟,,,,,
Find the name of scientists who are assigned to some project.,هل يمكنك العثور على أسماء العلماء الذين تم تعيينهم في بعض المشاريع؟,,,,,
What are the names of scientists who are assigned to any project?,ما هي أسماء العلماء الذين تم تعيينهم في أي مشروع؟,,,,,
Select the project names which are not assigned yet.,اختر أسماء المشاريع التي لم يتم تعيينها بعد.,,,,,
What are the names of projects that have not been assigned?,ما هي أسماء المشاريع التي لم يتم تعيينها بعد؟,,,,,
Find the name of scientists who are not assigned to any project.,هل يمكنك العثور على أسماء العلماء الذين لم يتم تعيينهم في أي مشروع؟,,,,,
What are the names of scientists who have not been assigned a project?,ما هي أسماء العلماء الذين لم يتم تعيينهم في مشروع؟,,,,,
Find the number of scientists who are not assigned to any project.,هل يمكنك العثور على عدد العلماء الذين لم يتم تعيينهم في أي مشروع؟,,,,,
How many scientists do not have any projects assigned to them?,كم عدد العلماء الذين ليس لديهم أي مشروع تم تعيينه لهم؟,,,,,
Find the names of scientists who are not working on the project with the highest hours.,هل يمكنك العثور على أسماء العلماء الذين لا يعملون في المشروع الذي يحمل أعلى عدد من الساعات؟,,,,,
What are the names of scientists who are not working on the project with the most hours?,ما هي أسماء العلماء الذين لا يعملون في المشروع الذي يحمل أعلى عدد من الساعات؟,,,,,
"List all the scientists' names, their projects' names, and the hours worked by that scientist on each project, in alphabetical order of project name, and then scientist name.",هل يمكنك سرد أسماء جميع العلماء، أسماء مشاريعهم، وعدد الساعات التي عملها كل عالم في كل مشروع، وذلك مرتبة ترتيباً أبجدياً حسب اسم المشروع، ثم اسم العالم؟,,,,,
"What are the names of each scientist, the names of the projects that they work on, and the hours for each of those projects, listed in alphabetical order by project name, then scientist name.",ما هي أسماء كل عالِم، وأسماء المشاريع التي يعملون عليها، وعدد الساعات لكل من هذه المشاريع، مرتبة ترتيبًا أبجديًا حسب اسم المشروع، ثم اسم العالِم؟,,,,,
Find name of the project that needs the least amount of time to finish and the name of scientists who worked on it.,هل يمكنك العثور على اسم المشروع الذي يحتاج إلى أقل كمية من الوقت للانتهاء واسم العلماء الذين عملوا عليه؟,,,,,
"What is the name of the project that requires the fewest number of hours, and the names of the scientists assigned to it?",ما هو اسم المشروع الذي يتطلب أقل عدد من الساعات، وأسماء العلماء الذين تم تعيينهم فيه؟,,,,,
What is the name of the highest rated wine?,ما هو اسم أعلى تصنيف للنبيذ؟,,,,,
Give the name of the wine with the highest score.,ما هو اسم النبيذ الذي حصل على أعلى تقييم؟,,,,,
Which winery is the wine that has the highest score from?,من أي مزرعة أتت النبيذ الذي حصل على أعلى تقييم؟,,,,,
What is the winery at which the wine with the highest score was made?,ما هي المزرعة التي تم إنتاج النبيذ الذي حصل على أعلى تقييم فيها؟,,,,,
Find the names of all wines produced in 2008.,هل يمكنك العثور على أسماء جميع النبيذ الذي تم إنتاجه في عام 2008؟,,,,,
What are the names of all wines produced in 2008?,ما هي أسماء جميع النبيذ الذي تم إنتاجه في عام 2008؟,,,,,
List the grapes and appelations of all wines.,هل يمكنك سرد أنواع العنب والمناطق الجغرافية لجميع النبيذ؟,,,,,
What are the grapes and appelations of each wine?,ما هي أنواع العنب والمناطق الجغرافية لكل نبيذ؟,,,,,
List the names and scores of all wines.,هل يمكنك سرد أسماء وتقييمات جميع النبيذ؟,,,,,
What are the names and scores of all wines?,ما هي أسماء وتقييمات جميع النبيذ؟,,,,,
List the area and county of all appelations.,هل يمكنك سرد المنطقة والمقاطعة لجميع المناطق الجغرافية؟,,,,,
What are the areas and counties for all appelations?,ما هي المناطق الجغرافية والمقاطعات لجميع المناطق الجغرافية؟,,,,,
What are the prices of wines produced before the year of 2010?,ما هي أسعار النبيذ الذي تم إنتاجه قبل عام 2010؟,,,,,
Return the prices of wines produced before 2010.,يرجى إعادة أسعار النبيذ الذي تم إنتاجه قبل عام 2010.,,,,,
List the names of all distinct wines that have scores higher than 90.,سرد أسماء جميع أنواع النبيذ المميزة التي حصلت على تقييمات تزيد عن 90.,,,,,
What are the names of wines with scores higher than 90?,ما هي أسماء النبيذ الذي حصل على تقييمات تزيد عن 90؟,,,,,
List the names of all distinct wines that are made of red color grape.,أذكر أسماء جميع أنواع النبيذ المميزة التي تم صنعها من عنب لونه أحمر.,,,,,
What are the names of wines made from red grapes?,ما هي أسماء النبيذ الذي صنع من عنب لونه أحمر؟,,,,,
Find the names of all distinct wines that have appellations in North Coast area.,ما هي أسماء جميع النبيذ المتميزة التي لديها تسميات في منطقة الساحل الشمالي؟,,,,,
What are the distinct names of wines that have appellations in the North Coast area?,ما هي أسماء النبيذ المميزة التي تحمل تسميات في منطقة الساحل الشمالي؟,,,,,
How many wines are produced at Robert Biale winery?,كم عدد النبيذ الذي يتم إنتاجه في مزرعة روبرت بيالي؟,,,,,
Count the number of wines produced at Robert Biale winery.,عدد النبيذ الذي يتم إنتاجه في مزرعة روبرت بيالي؟,,,,,
How many appelations are in Napa Country?,كم عدد الأسماء في مقاطعة نابا؟,,,,,
Count the number of appelations in Napa County.,عدد المقاطعات في مقاطعة نابا؟,,,,,
Give me the average prices of wines that are produced by appelations in Sonoma County.,أعطني متوسط أسعار النبيذ الذي يتم إنتاجه من قبل التسميات في مقاطعة سونوما؟,,,,,
What is the average price of wines produced in appelations in Sonoma County?,ما هو المتوسط ​​لأسعار النبيذ الذي يتم إنتاجه في التسميات في مقاطعة سونوما؟,,,,,
What are the names and scores of wines that are made of white color grapes?,ما هي أسماء ودرجات النبيذ الذي يتم إنتاجه من العنب ذو اللون الأبيض؟,,,,,
Give the names and scores of wines made from white grapes.,ما هي أسماء ودرجات النبيذ الذي يتم إنتاجه من العنب ذو اللون الأبيض؟,,,,,
Find the maximum price of wins from the appelations in Central Coast area and produced before the year of 2005.,ابحث عن أعلى سعر للنبيذ من المناطق في منطقة الساحل الوسطى والذي تم إنتاجه قبل عام 2005.,,,,,
"What is the maximum price of wines from the appelation in the Central Coast area, which was produced before 2005?",ما هو أعلى سعر للنبيذ من المنطقة في الساحل الوسطي، الذي تم إنتاجه قبل عام 2005؟,,,,,
Find the the grape whose white color grapes are used to produce wines with scores higher than 90.,ابحث عن العنب الذي يتم استخدام عنبه الأبيض لإنتاج النبيذ الذي يحمل درجات أعلى من 90.,,,,,
Find the white grape used to produce wines with scores above 90.,ابحث عن العنب الأبيض المستخدم لإنتاج النبيذ الذي يحمل درجات أعلى من 90.,,,,,
What are the wines that have prices higher than 50 and made of Red color grapes?,ما هي النبيذ التي تحمل أسعارًا أعلى من 50 ومصنوعة من العنب ذي اللون الأحمر؟,,,,,
What are the names of wines made from red grapes and with prices above 50?,ما هي أسماء النبيذ المصنوعة من العنب الأحمر والتي تحمل أسعارًا تفوق 50؟,,,,,
What are the wines that have prices lower than 50 and have appelations in Monterey county?,ما هي النبيذ التي تحمل أسعارًا أقل من 50 ولها تسميات في مقاطعة مونتيري؟,,,,,
Give the neames of wines with prices below 50 and with appelations in Monterey county.,ما هي أسماء النبيذ التي تحمل أسعارًا أقل من 50 وتحمل تسميات في مقاطعة مونتيري؟,,,,,
What are the numbers of wines for different grapes?,ما هي أرقام النبيذ لأنواع العنب المختلفة؟,,,,,
How many wines are there for each grape?,كم عدد النبيذ لكل نوع عنب؟,,,,,
What are the average prices of wines for different years?,ما هي المتوسطات السعرية للنبيذ حسب السنوات المختلفة؟,,,,,
What is the average prices of wines for each each?,ما هي المتوسطات السعرية للنبيذ لكل نوع؟,,,,,
Find the distinct names of all wines that have prices higher than some wines from John Anthony winery.,ابحث عن الأسماء المميزة لجميع أنواع النبيذ التي تتمتع بأسعار أعلى من بعض أنواع النبيذ من مزرعة جون أنتوني.,,,,,
What are the distinct names of wines with prices higher than any wine from John Anthony winery.,ما هي الأسماء المميزة للنبيذ بأسعار أعلى من أي نبيذ من مزرعة جون أنتوني؟,,,,,
List the names of all distinct wines in alphabetical order.,اذكر أسماء جميع أنواع النبيذ المميزة بترتيب أبجدي.,,,,,
"What are the names of wines, sorted in alphabetical order?",ما هي أسماء النبيذ، مرتبة بترتيب أبجدي؟,,,,,
List the names of all distinct wines ordered by price.,اذكر أسماء جميع أنواع النبيذ المميزة مرتبة حسب السعر.,,,,,
"What are the names of wines, sorted by price ascending?",ما هي أسماء النبيذ، مرتبة حسب السعر بترتيب تصاعدي؟,,,,,
What is the area of the appelation that produces the highest number of wines before the year of 2010?,ما هي مساحة التسمية الجغرافية التي تنتج أكبر عدد من أنواع النبيذ قبل عام 2010؟,,,,,
What is the area for the appelation which produced the most wines prior to 2010?,ما هي المنطقة التي تنتج أكبر عدد من أنواع النبيذ قبل عام 2010؟,,,,,
What is the color of the grape whose wine products has the highest average price?,ما هو لون العنب الذي ينتج نبيذه أعلى متوسط ​​سعر؟,,,,,
Give the color of the grape whose wine products have the highest average price?,أعطني لون العنب الذي ينتج نبيذه أعلى متوسط ​​سعر؟,,,,,
Find the distinct names of wines produced before the year of 2000 or after the year of 2010.,ابحث عن الأسماء المميزة لأنواع النبيذ التي تم إنتاجها قبل عام 2000 أو بعد عام 2010.,,,,,
Give the distinct names of wines made before 2000 or after 2010.,أعطني الأسماء المميزة لأنواع النبيذ التي تم إعدادها قبل عام 2000 أو بعد عام 2010.,,,,,
Find the distinct winery of wines having price between 50 and 100.,ابحث عن المزرعة المميزة لأنواع النبيذ التي تتراوح أسعارها بين 50 و 100.,,,,,
What are the distinct wineries which produce wines costing between 50 and 100?,ما هي المزارع المميزة التي تنتج أنواع النبيذ التي تكلف بين 50 و 100؟,,,,,
What are the average prices and cases of wines produced in the year of 2009 and made of Zinfandel grape?,ما هي المتوسطات السعرية وعدد الحالات لأنواع النبيذ التي تم إنتاجها في عام 2009 والمصنوعة من العنب زينفاندل؟,,,,,
Give the average price and case of wines made from Zinfandel grapes in the year 2009.,أعطني المتوسط ​​السعري وعدد الحالات لأنواع النبيذ المصنوعة من عنب زينفاندل في عام 2009.,,,,,
What are the maximum price and score of wines produced by St. Helena appelation?,"ما هي أقصى سعر وتقييم لأنواع النبيذ التي تم إنتاجها بتسمية ""سانت هيلينا""؟",,,,,
Give the maximum price and score for wines produced in the appelation St. Helena.,"أعطني أقصى سعر وتقييم لأنواع النبيذ التي تم إنتاجها في تسمية ""سانت هيلينا"".",,,,,
What are the maximum price and score of wines in each year?,ما هي أقصى سعر وتقييم لأنواع النبيذ في كل عام؟,,,,,
What are the maximum price and score of wines for each year?,ما هي أقصى سعر وتقييم لأنواع النبيذ في كل عام؟,,,,,
What are the average price and score of wines grouped by appelation?,ما هي المتوسطات السعرية والتقييمات لأنواع النبيذ مجمعة حسب التسمية؟,,,,,
What are the average price and score of wines for each appelation?,ما هي المتوسطات السعرية والتقييمات لأنواع النبيذ في كل تسمية؟,,,,,
Find the wineries that have at least four wines.,ابحث عن المزارع التي تحتوي على ما لا يقل عن أربعة أنواع من النبيذ.,,,,,
Which wineries produce at least four wines?,أي المزارع تنتج ما لا يقل عن أربعة أنواع من النبيذ؟,,,,,
Find the country of all appelations who have at most three wines.,ابحث عن البلد لجميع التسميات التي تحتوي على ثلاثة أنواع من النبيذ على الأكثر.,,,,,
What are the countries for appelations with at most 3 wines?,ما هي البلدان لتسميات تحتوي على ثلاثة أنواع من النبيذ على الأكثر؟,,,,,
What are the names of wines whose production year are before the year of all wines by Brander winery?,ما هي أسماء النبيذ الذين تم إنتاجهم قبل سنة جميع أنواع النبيذ من مزرعة براندر؟,,,,,
What are the names of wines produced before any wine from the Brander winery?,ما هي أسماء النبيذ التي تم إنتاجها قبل أي نبيذ من مزرعة براندر؟,,,,,
What are the names of wines that are more expensive then all wines made in the year 2006?,ما هي أسماء النبيذ التي تكون أكثر تكلفة من جميع أنواع النبيذ المصنوعة في عام 2006؟,,,,,
Give the names of wines with prices above any wine produced in 2006.,أعطني أسماء النبيذ بأسعار تتجاوز أي نبيذ تم إنتاجه في عام 2006.,,,,,
Find the top 3 wineries with the greatest number of wines made of white color grapes.,ابحث عن أفضل ثلاث مزارع لديها أكبر عدد من أنواع النبيذ المصنوعة من عنب أبيض.,,,,,
Which 3 wineries produce the most wines made from white grapes?,أي من ثلاث مزارع تنتج أكبر عدد من أنواع النبيذ المصنوعة من العنب الأبيض؟,,,,,
"List the grape, winery and year of the wines whose price is bigger than 100 ordered by year.",سجّل اسم العنب، والمزرعة، والسنة لأنواع النبيذ التي يكون سعرها أكبر من 100، مرتبة حسب السنة.,,,,,
"What are the grapes, wineries and years for wines with price higher than 100, sorted by year?",ما هي العنب، والمزارع، والسنوات لأنواع النبيذ التي يكون سعرها أعلى من 100، مرتبة حسب السنة؟,,,,,
"List the grape, appelation and name of wines whose score is higher than 93 ordered by Name.","""اذكر العنب والمنطقة واسم النبيذ الذي تكون درجته أعلى من 93 مرتبة حسب الاسم.""",,,,,
"What are the grapes, appelations, and wines with scores above 93, sorted by Name?",ما هي العنب، والتسميات، والنبيذ الذي يحمل درجات تتجاوز 93، مرتبة حسب الاسم؟,,,,,
Find the appelations that produce wines after the year of 2008 but not in Central Coast area.,"""ابحث عن التسميات التي تنتج نبيذًا بعد عام 2008 ولكن ليس في منطقة الساحل الوسطى.""",,,,,
What are the appelations for wines produced after 2008 but not in the Central Coast area?,ما هي التسميات للنبيذ الذي تم إنتاجه بعد عام 2008 ولكن ليس في منطقة الساحل الوسطى؟,,,,,
Find the average price of wines that are not produced from Sonoma county.,"""ابحث عن السعر المتوسط للنبيذ الذي لا يتم إنتاجه من مقاطعة سونوما؟""",,,,,
What is the average price for wines not produced in Sonoma county?,"""ما هو السعر المتوسط للنبيذ الذي لا يتم إنتاجه في مقاطعة سونوما؟""",,,,,
Find the county where produces the most number of wines with score higher than 90.,"""ابحث عن المقاطعة التي تنتج أكبر عدد من النبيذ بتقييم أعلى من 90.""",,,,,
What is the county that produces the most wines scoring higher than 90?,"""ما هي المقاطعة التي تنتج أكبر كمية من النبيذ بتقييم يتجاوز 90؟""",,,,,
How many train stations are there?,"""كم عدد محطات القطارات؟""",,,,,
"Show the name, location, and number of platforms for all stations.","""أظهر الاسم، والموقع، وعدد المنصات لجميع المحطات.""",,,,,
What are all locations of train stations?,"""ما هي جميع مواقع محطات القطار؟""",,,,,
Show the names and total passengers for all train stations not in London.,"""أظهر الأسماء وإجمالي الركاب لجميع محطات القطار غير الموجودة في لندن.""",,,,,
Show the names and main services for train stations that have the top three total number of passengers.,"""أظهر الأسماء والخدمات الرئيسية لمحطات القطار التي تحتل المراكز الثلاثة الأولى من حيث إجمالي عدد الركاب.""",,,,,
What is the average and maximum number of total passengers for train stations in London or Glasgow?,"""ما هو العدد المتوسط والعدد الأقصى للركاب الكليين لمحطات القطار في لندن أو غلاسكو؟""",,,,,
Show all locations and the total number of platforms and passengers for all train stations in each location.,"""أظهر جميع المواقع وإجمالي عدد المنصات والركاب لجميع محطات القطار في كل موقع.""",,,,,
Show all locations that have train stations with at least 15 platforms and train stations with more than 25 total passengers.,"""أظهر جميع المواقع التي تحتوي على محطات قطارات تحتوي على ما لا يقل عن 15 منصة ومحطات قطارات تحتوي على أكثر من 25 راكبًا إجمالاً.""",,,,,
Show all locations which don't have a train station with at least 15 platforms.,"""أظهر جميع المواقع التي لا تحتوي على محطة قطار بما لا يقل عن 15 منصة.""",,,,,
Show the location with most number of train stations.,"""أظهر الموقع الذي يحتوي على أكبر عدد من محطات القطار.""",,,,,
"Show the name, time, and service for all trains.","""أظهر الاسم، والوقت، والخدمة لجميع القطارات.""",,,,,
Show the number of trains,"""أظهر عدد القطارات.""",,,,,
Show the name and service for all trains in order by time.,"""أظهر اسم وخدمة جميع القطارات بترتيب حسب الوقت.""",,,,,
Show the station name and number of trains in each station.,"""أظهر اسم المحطة وعدد القطارات في كل محطة؟""",,,,,
show the train name and station name for each train.,"""أظهر اسم القطار واسم المحطة لكل قطار؟""",,,,,
Show all train names and times in stations in London in descending order by train time.,"""أظهر جميع أسماء القطارات والأوقات في المحطات في لندن بترتيب تنازلي حسب وقت القطار.""",,,,,
Show the station name with greatest number of trains.,"""أظهر اسم المحطة التي تحتوي على أكبر عدد من القطارات؟""",,,,,
Show the station name with at least two trains.,"""أظهر اسم المحطة التي تحتوي على ما لا يقل عن اثنين من القطارات؟""",,,,,
Show all locations with only 1 station.,"""أظهر جميع المواقع التي تحتوي على محطة واحدة فقط؟""",,,,,
Show station names without any trains.,"""أظهر أسماء المحطات بدون أي قطارات؟""",,,,,
"What are the names of the stations which serve both ""Ananthapuri Express"" and ""Guruvayur Express"" trains?","""ما هي أسماء المحطات التي تخدم قطاري 'Ananthapuri Express' و 'Guruvayur Express'؟""",,,,,
Find the names of the trains that do not pass any station located in London.,"""ابحث عن أسماء القطارات التي لا تمر عبر أي محطة تقع في لندن؟""",,,,,
List the names and locations of all stations ordered by their yearly entry exit and interchange amounts.,"""أورد أسماء ومواقع جميع المحطات مرتبة حسب مبالغ الدخول والخروج السنوية ومبالغ التبادل.""",,,,,
List all vehicle id,"""أورد جميع معرفات السيارات؟""",,,,,
What are the ids of all vehicles?,"""ما هي معرفات جميع السيارات؟""",,,,,
How many vehicle in total?,"""كم عدد السيارات بالمجموع؟""",,,,,
How many vehicles exist?,"""كم عدد السيارات الموجودة؟""",,,,,
Show the detail of vehicle with id 1.,"""أظهر تفاصيل السيارة برقم المعرف 1؟""",,,,,
What are the details of the car with id 1?,"""ما هي تفاصيل السيارة ذات الرقم المعرف 1؟""",,,,,
List the first name middle name and last name of all staff.,"""أورد الاسم الأول والاسم الأوسط والاسم الأخير لجميع الموظفين؟""",,,,,
"What are the first, middle, and last names of all staff?","""ما هي الأسماء الأولى والوسطى والأخيرة لجميع الموظفين؟""",,,,,
What is the birthday of the staff member with first name as Janessa and last name as Sawayn?,"""ما هو تاريخ ميلاد عضو الفريق الذي يحمل الاسم الأول جانيسا والاسم الأخير ساوين؟""",,,,,
What is the date of birth for the staff member named Janessa Sawayn?,"""ما هو تاريخ ميلاد عضو الفريق الذي يحمل الاسم جانيسا ساوين؟""",,,,,
When did the staff member with first name as Janessa and last name as Sawayn join the company?,متى انضم أحد أفراد الطاقم الذي يحمل الاسم الأول جانيسا والاسم الأخير ساواين إلى الشركة؟,,,,,
When did the staff member named Janessa Sawayn join the company?,متى انضم أحد أفراد الطاقم الذي يدعى جانيسا ساواين إلى الشركة؟,,,,,
When did the staff member with first name as Janessa and last name as Sawayn leave the company?,متى غادر أحد أفراد الطاقم الذي يحمل الاسم الأول جانيسا والاسم الأخير ساواين الشركة؟,,,,,
When did the staff member Janessa Sawayn leave the company?,متى غادر أحد أفراد الطاقم جانيسا ساواين الشركة؟,,,,,
How many staff have the first name Ludie?,كم عدد أفراد الطاقم الذين يحملون الاسم الأول لودي؟,,,,,
How many employees have a first name of Ludie?,كم عدد الموظفين الذين يحملون اسم لودي كاسم أول؟,,,,,
What is the nickname of staff with first name as Janessa and last name as Sawayn?,ما هو اللقب الذي يحمله أحد أفراد الطاقم الذي يتمتع بالاسم الأول جانيسا والاسم الأخير ساواين؟,,,,,
What is the nickname of the employee named Janessa Sawayn?,ما هو لقب الموظف الذي يحمل اسم جانيسا ساواين؟,,,,,
How many staff in total?,كم عدد الأفراد في المجموع؟,,,,,
How many employees are there?,كم عدد الموظفين هناك؟,,,,,
Which city does staff with first name as Janessa and last name as Sawayn live?,في أي مدينة يعيش أحد أفراد الطاقم الذي يحمل الاسم الأول جانيسا والاسم الأخير ساواين؟,,,,,
In what city does Janessa Sawayn live?,في أي مدينة يعيش جانيسا ساواين؟,,,,,
Which country and state does staff with first name as Janessa and last name as Sawayn lived?,في أي بلد وولاية يعيش أحد أفراد الطاقم الذي يحمل الاسم الأول جانيسا والاسم الأخير ساواين؟,,,,,
In which country and state does Janessa Sawayn live?,في أي بلد وولاية يعيش جانيسا ساواين؟,,,,,
How long is the total lesson time took by customer with first name as Rylan and last name as Goodwin?,كم استغرق إجمالي وقت الدرس الذي أخذه العميل الذي يحمل الاسم الأول رايلان والاسم الأخير جودوين؟,,,,,
How long is the total lesson time took by the customer named Rylan Goodwin?,كم استغرق إجمالي وقت الدرس الذي أخذه العميل الذي يحمل اسم رايلان جودوين؟,,,,,
What is the zip code of staff with first name as Janessa and last name as Sawayn lived?,ما هو الرمز البريدي لأحد أفراد الطاقم الذي يحمل الاسم الأول جانيسا والاسم الأخير ساواين؟,,,,,
What is the zip code of the hosue of the employee named Janessa Sawayn?,ما هو الرمز البريدي لمنزل الموظف الذي يحمل اسم جانيسا ساواين؟,,,,,
How many staff live in state Georgia?,كم عدد أفراد الطاقم الذين يعيشون في ولاية جورجيا؟,,,,,
How many employees live in Georgia?,كم عدد الموظفين الذين يعيشون في جورجيا؟,,,,,
Find out the first name and last name of staff lived in city Damianfort.,ابحث عن الاسم الأول والاسم الأخير لأحد أفراد الطاقم الذي يعيش في مدينة داميانفورت.,,,,,
What is the first and last name of all employees who live in the city Damianfort?,ما هو الاسم الأول والاسم الأخير لجميع الموظفين الذين يعيشون في مدينة داميانفورت؟,,,,,
Which city lives most of staffs? List the city name and number of staffs.,أي مدينة تعيش فيها معظم أفراد الطاقم؟ قم بتقديم أسماء المدن وعدد الأفراد.,,,,,
In which city do the most employees live and how many of them live there?,في أي مدينة يعيش معظم الموظفين وكم عددهم هناك؟,,,,,
List the states which have between 2 to 4 staffs living there.,قم بتقديم قائمة بالولايات التي يعيش فيها بين 2 و 4 أفراد من الطاقم.,,,,,
What are the names of the states that have 2 to 4 employees living there?,ما هي أسماء الولايات التي يعيش فيها بين 2 و 4 موظفين؟,,,,,
List the first name and last name of all customers.,قم بتقديم قائمة بالأسماء الأولى والأسماء الأخيرة لجميع العملاء.,,,,,
What are the first and last names for all customers?,ما هي الأسماء الأولى والأسماء الأخيرة لجميع العملاء؟,,,,,
List email address and birthday of customer whose first name as Carole.,قم بتقديم قائمة بعناوين البريد الإلكتروني وتاريخ ميلاد العميل الذي يحمل الاسم الأول كارول.,,,,,
What are the email addresses and date of births for all customers who have a first name of Carole?,ما هي عناوين البريد الإلكتروني وتواريخ الميلاد لجميع العملاء الذين يحملون اسم كارول؟,,,,,
List phone number and email address of customer with more than 2000 outstanding balance.,قم بتقديم قائمة بأرقام الهواتف وعناوين البريد الإلكتروني للعميل الذي يمتلك رصيدًا معلقًا يتجاوز 2000.,,,,,
What are the phone numbers and email addresses of all customers who have an outstanding balance of more than 2000?,ما هي أرقام الهواتف وعناوين البريد الإلكتروني لجميع العملاء الذين يمتلكون رصيدًا معلقًا يتجاوز 2000؟,,,,,
"What is the status code, mobile phone number and email address of customer with last name as Kohler or first name as Marina?",ما هو رمز الحالة ورقم الهاتف المحمول وعنوان البريد الإلكتروني للعميل الذي يحمل الاسم الأخير كولر أو الاسم الأول مارينا؟,,,,,
"What is the status code, phone number, and email address of the customer whose last name is Kohler or whose first name is Marina?",ما هو رمز الحالة ورقم الهاتف وعنوان البريد الإلكتروني للعميل الذي يحمل الاسم الأخير كولر أو الاسم الأول مارينا؟,,,,,
When are the birthdays of customer who are classified as 'Good Customer' status?,متى هي أعياد ميلاد العملاء الذين يُصنفون كـ 'عميل جيد'؟,,,,,
What is the date of birth of every customer whose status code is 'Good Customer'?,ما هو تاريخ ميلاد كل عميل يحمل رمز حالة 'عميل جيد'؟,,,,,
When did customer with first name as Carole and last name as Bernhard became a customer?,متى أصبح العميل الذي يحمل الاسم الأول كارول والاسم الأخير برنهارد عميلا؟,,,,,
When did Carole Bernhard first become a customer?,متى أصبحت كارول برنهارد عميلة للمرة الأولى؟,,,,,
How many customers in total?,كم عدد العملاء بالإجمال؟,,,,,
How many customers are there?,كم عدد العملاء؟,,,,,
List all customer status codes and the number of customers having each status code.,أورد جميع رموز حالة العملاء وعدد العملاء الذين يحملون كل رمز حالة.,,,,,
"For each customer status code, how many customers are classified that way?",لكل رمز حالة للعملاء، كم عدد العملاء المصنفين بهذه الطريقة؟,,,,,
Which customer status code has least number of customers?,أي رمز حالة للعملاء يحتوي على أقل عدد من العملاء؟,,,,,
What is the status code with the least number of customers?,ما هو رمز الحالة الذي يحتوي على أقل عدد من العملاء؟,,,,,
How many lessons taken by customer with first name as Rylan and last name as Goodwin were completed?,"كم عدد الدروس التي أتمها العميل الذي يحمل الاسم الأول ""Rylan"" والاسم الأخير ""Goodwin""؟",,,,,
How many lessons did the customer Ryan Goodwin complete?,كم عدد الدروس التي أكملها العميل ريان جودوين؟,,,,,
"What is maximum, minimum and average amount of outstanding of customer?",ما هو الحد الأقصى والحد الأدنى والمتوسط ​​لمبلغ المتبقي لدى العميل؟,,,,,
"What is the maximum, minimum, and average amount of money outsanding for all customers?",ما هو الحد الأقصى والحد الأدنى والمتوسط ​​لمبلغ المتبقي لدى جميع العملاء؟,,,,,
List the first name and last name of customers have the amount of outstanding between 1000 and 3000.,قائمة الأسماء الأولى والأسماء الأخيرة للعملاء الذين لديهم مبلغ متبقي بين 1000 و 3000.,,,,,
What are the first and last names of all customers with between 1000 and 3000 dollars outstanding?,ما هي الأسماء الأولى والأخيرة لجميع العملاء الذين لديهم مبلغ متبقي بين 1000 و 3000 دولار؟,,,,,
List first name and last name of customers lived in city Lockmanfurt.,أذكر أسماء العملاء الأولى والأخيرة الذين يعيشون في مدينة Lockmanfurt.,,,,,
What are the first and last names of all customers who lived in Lockmanfurt?,ما هي الأسماء الأولى والأخيرة لجميع العملاء الذين عاشوا في Lockmanfurt؟,,,,,
Which country does customer with first name as Carole and last name as Bernhard lived in?,في أي بلد يعيش العميل الذي يحمل الاسم الأول Carole والاسم الأخير Bernhard؟,,,,,
What is the country in which the customer Carole Bernhard lived?,في أي بلد يعيش العميل Carole Bernhard؟,,,,,
What is zip code of customer with first name as Carole and last name as Bernhard?,ما هو الرمز البريدي للعميل الذي يحمل الاسم الأول Carole والاسم الأخير Bernhard؟,,,,,
What is the zip code of the customer Carole Bernhard?,ما هو رمز البريد السريع للعميل Carole Bernhard؟,,,,,
Which city does has most number of customers?,في أي مدينة يوجد أكبر عدد من العملاء؟,,,,,
What is the city with the most customers?,ما هي المدينة التي تحتوي على أكبر عدد من العملاء؟,,,,,
